"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"^GSPC","Nil","S&amp;P 500",2801.83,NA,NA,NA,NA,NA,NA,0.159050199598734,-0.024727885355063,"https://finance.yahoo.com/quote/^GSPC?p=^GSPC","2,417.35 - 2,872.87",2872.87,2417.35
"^VIX","Nil","CBOE Volatility Index",12.86,NA,NA,NA,NA,NA,NA,0.502336448598131,-0.744333996023857,"https://finance.yahoo.com/quote/^VIX?p=^VIX","8.56 - 50.30",50.3,8.56
"2801.HK","Nil","ISHARES CHINA",26.9,NA,NA,NA,NA,NA,NA,0.0934959349593495,-0.169753086419753,"https://finance.yahoo.com/quote/2801.HK?p=2801.HK","24.60 - 32.40",32.4,24.6
"2805.HK","Nil","VANGUARDASXJP",23.85,NA,NA,NA,NA,NA,NA,6.95,-0.145161290322581,"https://finance.yahoo.com/quote/2805.HK?p=2805.HK","3.00 - 27.90",27.9,3
"2821.HK","Nil","ABF PAIF",110.5,NA,NA,NA,NA,NA,NA,0,-0.0745393634840871,"https://finance.yahoo.com/quote/2821.HK?p=2821.HK","110.5000 - 119.4000",119.4,110.5
"A35.SI","Nil","ABF SG BOND ETF",1.128,NA,NA,NA,NA,NA,NA,0.0180505415162453,-0.0416312659303315,"https://finance.yahoo.com/quote/A35.SI?p=A35.SI","1.108 - 1.177",1.177,1.108
"AAXJ","Nil","iShares MSCI All Country Asia e",72.01,NA,NA,NA,NA,NA,NA,0.0431696363899754,-0.137811302681992,"https://finance.yahoo.com/quote/AAXJ?p=AAXJ","69.03 - 83.52",83.52,69.03
"ADRE","Nil","Invesco BLDRS Emerging Markets ",42.09,NA,NA,NA,NA,NA,NA,0.0519870032491878,-0.139615699100572,"https://finance.yahoo.com/quote/ADRE?p=ADRE","40.01 - 48.92",48.92,40.01
"ISAC.L","Nil","ISHARES V PUBLIC LIMITED COMPAN",49.05,NA,NA,NA,NA,NA,NA,0.437994722955145,-0.0505226480836237,"https://finance.yahoo.com/quote/ISAC.L?p=ISAC.L","34.11 - 51.66",51.66,34.11
"BIK","Nil","SPDR S&amp;P BRIC 40",20.97,NA,NA,NA,NA,NA,NA,0.393355481727575,-0.00616113744075841,"https://finance.yahoo.com/quote/BIK?p=BIK","15.05 - 21.10",21.1,15.05
"TLT","Nil","iShares 20+ Year Treasury Bond ",120.76,NA,NA,NA,NA,NA,NA,0.0402274097682832,-0.0679941344447016,"https://finance.yahoo.com/quote/TLT?p=TLT","116.09 - 129.57",129.57,116.09
"BKF","Nil","iShares MSCI BRIC Index Fund",42.32,NA,NA,NA,NA,NA,NA,0.0670700958144227,-0.169218688653318,"https://finance.yahoo.com/quote/BKF?p=BKF","39.66 - 50.94",50.94,39.66
"BYJ.SI","Nil","PHIL AP DIV REIT S$D",1.371,NA,NA,NA,NA,NA,NA,0.44620253164557,0.00072992700729919,"https://finance.yahoo.com/quote/BYJ.SI?p=BYJ.SI","0.948 - 1.370",1.37,0.948
"CHIM","Nil","Global X China Materials ETF",18.28,NA,NA,NA,NA,NA,NA,0.0469644902634593,-0.24212271973466,"https://finance.yahoo.com/quote/CHIM?p=CHIM","17.46 - 24.12",24.12,17.46
"CHIX","Nil","Global X China Financials ETF",16.74,NA,NA,NA,NA,NA,NA,0.0955497382198952,-0.204372623574145,"https://finance.yahoo.com/quote/CHIX?p=CHIX","15.28 - 21.04",21.04,15.28
"CVY","Nil","Invesco Zacks Multi-Asset Incom",22.19,NA,NA,NA,NA,NA,NA,0.0777076250607091,-0.0557446808510638,"https://finance.yahoo.com/quote/CVY?p=CVY","20.59 - 23.50",23.5,20.59
"DEM","Nil","WisdomTree Emerging Markets Hig",43.66,NA,NA,NA,NA,NA,NA,0.0769610261470152,-0.13218048101769,"https://finance.yahoo.com/quote/DEM?p=DEM","40.54 - 50.31",50.31,40.54
"RWO","Nil","SPDR DJ Wilshire Global Real Es",48.04,NA,NA,NA,NA,NA,NA,0.0928116469517743,-0.0277271807326452,"https://finance.yahoo.com/quote/RWO?p=RWO","43.96 - 49.41",49.41,43.96
"GSG","Nil","iShares GSCI Commodity-Indexed ",16.99,NA,NA,NA,NA,NA,NA,0.220545977011494,-0.0720917531403605,"https://finance.yahoo.com/quote/GSG?p=GSG","13.92 - 18.31",18.31,13.92
"EDIV","Nil","SPDR S&amp;P Emerging Markets Divid",31.22,NA,NA,NA,NA,NA,NA,0.0508246381689666,-0.14792576419214,"https://finance.yahoo.com/quote/EDIV?p=EDIV","29.71 - 36.64",36.64,29.71
"EEM","Nil","iShares MSCI Emerging Index Fun",43.96,NA,NA,NA,NA,NA,NA,0.0429418742586003,-0.155913978494624,"https://finance.yahoo.com/quote/EEM?p=EEM","42.15 - 52.08",52.08,42.15
"EEME","Nil","iShares MSCI Emerging Markets E",38.47,NA,NA,NA,NA,NA,NA,0.0020838760093774,0,"https://finance.yahoo.com/quote/EEME?p=EEME","38.39 - 38.47",38.47,38.39
"EFA","Nil","iShares MSCI EAFE ETF",68.08,NA,NA,NA,NA,NA,NA,0.0545229244114002,-0.0955227846419556,"https://finance.yahoo.com/quote/EFA?p=EFA","64.56 - 75.27",75.27,64.56
"ERUS","Nil","iShares MSCI iShares MSCI Russi",33.39,NA,NA,NA,NA,NA,NA,0.164225941422594,-0.148865664032628,"https://finance.yahoo.com/quote/ERUS?p=ERUS","28.68 - 39.23",39.23,28.68
"ES3.SI","Nil","STI ETF",3.341,NA,NA,NA,NA,NA,NA,0.0343653250773994,-0.0871584699453552,"https://finance.yahoo.com/quote/ES3.SI?p=ES3.SI","3.230 - 3.660",3.66,3.23
"ESR","Nil","iShares MSCI Emerging Markets E",0,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/ESR?p=ESR","",NA,NA
"EWA","Nil","iShares MSCI Australia Index Fu",22.84,NA,NA,NA,NA,NA,NA,0.0603528319405757,-0.0558081852004961,"https://finance.yahoo.com/quote/EWA?p=EWA","21.54 - 24.19",24.19,21.54
"EWC","Nil","iShares MSCI Canada Index Fund",28.9,NA,NA,NA,NA,NA,NA,0.0739502043849869,-0.0555555555555556,"https://finance.yahoo.com/quote/EWC?p=EWC","26.91 - 30.60",30.6,26.91
"EWEM","Nil","Invesco MSCI Emerging Markets E",31.93,NA,NA,NA,NA,NA,NA,0.025040128410915,-0.155514414176144,"https://finance.yahoo.com/quote/EWEM?p=EWEM","31.15 - 37.81",37.81,31.15
"EWH","Nil","iShares MSCI Hong Kong Index Fu",24.39,NA,NA,NA,NA,NA,NA,0.0252206809583859,-0.0943186037875974,"https://finance.yahoo.com/quote/EWH?p=EWH","23.79 - 26.93",26.93,23.79
"EWI","Nil","iShares Inc iShares MSCI Italy ",29.26,NA,NA,NA,NA,NA,NA,0.031734837799718,-0.150653120464441,"https://finance.yahoo.com/quote/EWI?p=EWI","28.36 - 34.45",34.45,28.36
"EWJ","Nil","iShares MSCI Japan Index Fund",58.19,NA,NA,NA,NA,NA,NA,0.101874644953607,-0.100896168108776,"https://finance.yahoo.com/quote/EWJ?p=EWJ","52.81 - 64.72",64.72,52.81
"EWL","Nil","iShares Inc iShares MSCI Switze",33.97,NA,NA,NA,NA,NA,NA,0.0635566687539135,-0.102272727272727,"https://finance.yahoo.com/quote/EWL?p=EWL","31.94 - 37.84",37.84,31.94
"EWM","Nil","iShares MSCI Malaysia Index Fun",32.14,NA,NA,NA,NA,NA,NA,0.0551543007222587,-0.12089715536105,"https://finance.yahoo.com/quote/EWM?p=EWM","30.46 - 36.56",36.56,30.46
"EWN","Nil","iShares MSCI Netherlands Index ",31.84,NA,NA,NA,NA,NA,NA,0.0616872290763588,-0.0660017600469347,"https://finance.yahoo.com/quote/EWN?p=EWN","29.99 - 34.09",34.09,29.99
"EWP","Nil","iShares Inc iShares MSCI Spain ",31.04,NA,NA,NA,NA,NA,NA,0.0479405806887238,-0.146783947223749,"https://finance.yahoo.com/quote/EWP?p=EWP","29.62 - 36.38",36.38,29.62
"EWQ","Nil","iShares MSCI France Index Fund",31.28,NA,NA,NA,NA,NA,NA,0.0971588916169765,-0.0726356359324043,"https://finance.yahoo.com/quote/EWQ?p=EWQ","28.51 - 33.73",33.73,28.51
"EWS","Nil","iShares Inc iShares MSCI Singap",23.96,NA,NA,NA,NA,NA,NA,0.0314248816185967,-0.154850088183422,"https://finance.yahoo.com/quote/EWS?p=EWS","23.23 - 28.35",28.35,23.23
"EWT","Nil","iShares Inc iShares MSCI Taiwan",37.27,NA,NA,NA,NA,NA,NA,0.0645529848614683,-0.052858958068615,"https://finance.yahoo.com/quote/EWT?p=EWT","35.01 - 39.35",39.35,35.01
"EWU","Nil","iShares MSCI United Kingdom ETF",34.79,NA,NA,NA,NA,NA,NA,0.0501056444310292,-0.0856767411300919,"https://finance.yahoo.com/quote/EWU?p=EWU","33.13 - 38.05",38.05,33.13
"EWW","Nil","iShares Inc iShares MSCI Mexico",50.48,NA,NA,NA,NA,NA,NA,0.159127439724455,-0.12694569353165,"https://finance.yahoo.com/quote/EWW?p=EWW","43.55 - 57.82",57.82,43.55
"EWY","Nil","iShares Inc iShares MSCI South ",66.33,NA,NA,NA,NA,NA,NA,0.00866788321167873,-0.161123055520425,"https://finance.yahoo.com/quote/EWY?p=EWY","65.76 - 79.07",79.07,65.76
"EWY","Nil","iShares Inc iShares MSCI South ",66.33,NA,NA,NA,NA,NA,NA,0.0209327381868555,-0.161123055520425,"https://finance.yahoo.com/quote/EWY?p=EWY","64.97 - 79.07",79.07,64.97
"EZA","Nil","iShares MSCI South Africa Index",59.09,NA,NA,NA,NA,NA,NA,0.11134098175663,-0.227884489742585,"https://finance.yahoo.com/quote/EZA?p=EZA","53.17 - 76.53",76.53,53.17
"FCA","Nil","First Trust China AlphaDEX Fund",28.34,NA,NA,NA,NA,NA,NA,0.138152610441767,-0.185398102903133,"https://finance.yahoo.com/quote/FCA?p=FCA","24.90 - 34.79",34.79,24.9
"FCG","Nil","First Trust Natural Gas ETF",23.43,NA,NA,NA,NA,NA,NA,0.256300268096515,-0.0502634779083908,"https://finance.yahoo.com/quote/FCG?p=FCG","18.65 - 24.67",24.67,18.65
"FCHI","Nil","iShares FTSE China (HK Listed)",47.91,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/FCHI?p=FCHI","",NA,NA
"FDD","Nil","First Trust Dow Jones STOXX Sel",13.36,NA,NA,NA,NA,NA,NA,0.0284834488067744,-0.0966869506423259,"https://finance.yahoo.com/quote/FDD?p=FDD","12.99 - 14.79",14.79,12.99
"FEM","Nil","First Trust Emerging Markets Al",25.74,NA,NA,NA,NA,NA,NA,0.0271348762968875,-0.17816091954023,"https://finance.yahoo.com/quote/FEM?p=FEM","25.06 - 31.32",31.32,25.06
